GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hr-desk.backend17,franco.maurizio.hr.desk.com.dto,QuestionAndReply,212,0,0,0,59,0,22,0,22,0
hr-desk.backend17,franco.maurizio.hr.desk.com.dto,SurveyReplyScore,41,0,0,0,5,0,10,0,10,0
hr-desk.backend17,franco.maurizio.hr.desk.com.dto,AswerJsonResponse,86,0,0,0,29,0,20,0,20,0
hr-desk.backend17,franco.maurizio.hr.desk.com.util,RandomTokenGenerator,3,30,0,2,1,5,1,3,1,2
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,PdfController,28,7,2,0,6,2,2,2,1,2
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,SurveyController,217,120,10,4,47,25,8,8,1,8
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,RoleController,74,111,7,5,11,24,7,7,1,7
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,SurveyReplyController,68,259,4,8,10,53,7,14,3,12
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,CandidateSurveyTokenController,175,88,11,7,32,21,10,6,1,6
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,StatisticsController,18,7,2,0,4,2,2,2,1,2
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,CoursePageController,421,142,26,4,91,29,22,8,7,8
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,UserController,293,184,22,10,50,38,18,10,5,7
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,AuthenticationController,5,7,0,0,2,2,1,2,1,2
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,CustomCode,10,0,0,0,5,0,3,0,3,0
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,CandidateStatesController,61,127,6,4,8,26,6,8,1,8
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,SurveyQuestionCustomController,18,7,2,0,4,2,2,2,1,2
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,ApplicationVersionController,8,7,0,0,1,2,1,2,1,2
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,CoursePageCustomController,70,7,8,0,12,2,7,2,3,2
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,CandidateController,18,91,2,0,4,21,2,6,1,6
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,PositionUserOwnerController,36,7,2,0,6,2,3,2,2,2
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,CandidateSurveyTokenCustomController,72,7,8,0,16,2,8,2,4,2
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,QuestionController,35,100,4,8,4,20,4,8,0,6
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,CandidateCustomController,189,30,4,2,39,7,7,4,5,3
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,SurveyReplyRequestController,177,82,8,2,34,16,7,3,2,3
hr-desk.backend17,franco.maurizio.hr.desk.com.backend,SurveyQuestionController,85,127,7,7,12,26,7,7,0,7
hr-desk.backend17,franco.maurizio.hr.desk.com.common,CeReProBackendConfiguration,0,15,0,0,0,5,0,2,0,2
hr-desk.backend17,franco.maurizio.hr.desk.com.service,SurveyService,169,7,4,0,39,2,4,2,2,2
hr-desk.backend17,franco.maurizio.hr.desk.com.service,PositionUserOwnerService,34,7,0,0,10,2,4,2,4,2
hr-desk.backend17,franco.maurizio.hr.desk.com.service,StatisticsService,32,7,0,0,6,2,1,2,1,2
hr-desk.backend17,franco.maurizio.hr.desk.com.service,CandidateService,1034,50,72,0,232,15,50,5,14,5
hr-desk.backend17,franco.maurizio.hr.desk.com.service,SurveyReplyService,107,136,4,4,23,33,5,8,3,6
hr-desk.backend17,franco.maurizio.hr.desk.com.service,ApplicationInfoService,8,3,0,0,1,1,1,1,1,1
hr-desk.backend17,franco.maurizio.hr.desk.com.service,RoleService,32,28,0,0,8,9,2,4,2,4
hr-desk.backend17,franco.maurizio.hr.desk.com.service,QuestionService,221,7,32,0,58,2,22,2,6,2
hr-desk.backend17,franco.maurizio.hr.desk.com.service,CandidateSurveyTokenService,0,14,0,0,0,5,0,3,0,3
hr-desk.backend17,franco.maurizio.hr.desk.com.service,SurveyReplyRequestService,16,261,16,34,4,38,18,13,2,4
hr-desk.backend17,franco.maurizio.hr.desk.com.service,UserService,63,21,4,0,14,7,6,4,4,4
hr-desk.backend17,franco.maurizio.hr.desk.com.service,LoginService,18,71,2,2,3,15,2,4,0,4
hr-desk.backend17,franco.maurizio.hr.desk.com.service,CoursePageService,456,19,8,0,97,6,10,4,6,4
hr-desk.backend17,franco.maurizio.hr.desk.com.service,PdfService,763,7,40,0,148,2,24,2,4,2
hr-desk.backend17,franco.maurizio.hr.desk.com.service,CandidateStateService,0,15,0,0,0,5,0,2,0,2
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.response,ResponseQuestion,43,0,0,0,8,0,6,0,6,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.response,PdfGeneratedResponse,17,0,0,0,7,0,4,0,4,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.response,StartSurveyResponse,89,0,0,0,31,0,20,0,20,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.response,ResponseInterview,52,0,0,0,11,0,8,0,8,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.response,AbstractSurveyResponse,95,0,0,0,32,0,22,0,22,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.response,ApplicationInfoResponseModel,32,0,0,0,9,0,7,0,7,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest,SpringSessionUser,3,13,0,0,1,5,1,2,1,2
hr-desk.backend17,franco.maurizio.hr.desk.com.backend.validator,FieldValidationErrorDetails,57,0,0,0,23,0,15,0,15,0
hr-desk.backend17,franco.maurizio.hr.desk.com.backend.validator,CustomErrorType,9,0,0,0,4,0,2,0,2,0
hr-desk.backend17,franco.maurizio.hr.desk.com.backend.validator,RestValidationHandler,0,7,0,0,0,2,0,2,0,2
hr-desk.backend17,franco.maurizio.hr.desk.com.backend.validator,MessageType,27,0,0,0,2,0,1,0,1,0
hr-desk.backend17,franco.maurizio.hr.desk.com.backend.validator,FieldValidationError,24,0,0,0,10,0,7,0,7,0
hr-desk.backend17,franco.maurizio.hr.desk.com.service.exception,CandidateNotFoundException,23,0,0,0,10,0,5,0,5,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.request,RequestItConsultantCustom,21,0,0,0,4,0,2,0,2,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.request,SingleQuestionReplyRequest,0,66,0,0,0,28,0,19,0,19
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.request,InterviewReplyRequest,104,0,0,0,35,0,24,0,24,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.request,SurveyReplyRequest,11,55,0,0,5,18,3,13,3,13
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.request,RequestUpdateItConsultantCustom,3,0,0,0,2,0,1,0,1,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.request,InterviewReplyStartRequest,32,0,0,0,11,0,8,0,8,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.request,SurveyReplyStartRequest,39,0,0,0,14,0,10,0,10,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.response.statistics.course_code,CourseCodeStatisticsModel,32,0,0,0,13,0,7,0,7,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.request.candidate,RequestUpdateCustom,273,0,0,0,94,0,47,0,47,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.request.candidate,RequestUpdateCandidateCustom,28,0,0,0,4,0,2,0,2,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.request.candidate,RequestCustom,243,0,0,0,79,0,40,0,40,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.request.candidate,RequestCandidateCustom,45,0,0,0,7,0,3,0,3,0
hr-desk.backend17,franco.maurizio.hr.desk.com,UserDetailServiceImpl,61,7,4,0,13,2,3,2,1,2
hr-desk.backend17,franco.maurizio.hr.desk.com,CeReProBackendApplication,31,7,2,0,8,2,3,2,2,2
hr-desk.backend17,franco.maurizio.hr.desk.com,ApplicationSecurityConfig,0,296,0,0,0,40,0,9,0,9
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.response.statistics.interviews,SurveyPieChartDataset,46,0,0,0,14,0,5,0,5,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.response.statistics.interviews,InterviewPieChartDataset,39,0,0,0,12,0,5,0,5,0
hr-desk.backend17,franco.maurizio.hr.desk.com.rest.response.statistics.interviews,InterviewRepliesDataset,34,0,0,0,14,0,6,0,6,0
